Country Name,Flag File Name,Official Country Name,GDP,Area,Population
Afghanistan,Afghanistan.png,,20889,647500,
Albania,Albania.png,,13001,28748,
Algeria,Algeria.png,,178287,2381740,
Andorra,Andorra.png,,3164,468,
Angola,Angola.png,,124209,1246700,
Antigua and Barbuda,Antigua_and_Barbuda.png,,1535,442,
Argentina,Argentina.png,,637717,2780400,
Armenia,Armenia.png,,11037,29800,
Australia,Australia.png,,1379548,7692024,
Austria,Austria.png,,416845,83858,
Azerbaijan,Azerbaijan.png,,40670,86600,
Bahamas,Bahamas.png,,9127,13940,
Bahrain,Bahrain.png,,34895,665,
Bangladesh,Bangladesh.png,,261374,147570,
Barbados,Barbados.png,,4821,430,
Belarus,Belarus.png,,54436,207600,
Belgium,Belgium.png,,494733,32545,
Belize,Belize.png,,1819,22966,
Benin,Benin.png,,9410,112620,
Bhutan,Bhutan.png,,2321,47000,
Bolivia,Bolivia.png,,37122,1098580,
Bosnia and Herzegovina,Bosnia_and_Herzegovina.png,,17457,51129,
Botswana,Botswana.png,,16725,600370,
Brazil,Brazil.png,,2054969,8515767,
Brunei,Brunei.png,,11963,5770,
Bulgaria,Bulgaria.png,,56943,110910,
Burkina Faso,Burkina_Faso.png,,13187,274200,
Burundi,Burundi.png,,3393,27834,
Cambodia,Cambodia.png,,22252,181035,
Cameroon,Cameroon.png,,34006,475440,
Canada,Canada.png,,1652412,9984670,
Cape Verde,Cape_Verde.png,,1728,4033,
Central African Republic,Central_African_Republic.png,,1992,622984,
Chad,Chad.png,,9740,1284000,
Chile,Chile.png,,277042,756950,
China,People's_Republic_of_China.png,,12014610,9572900,
Colombia,Colombia.png,,309197,1197411,
Comoros,Comoros.png,,659,2170,
Costa Rica,Costa_Rica.png,,58056,51100,
Croatia,Croatia.png,,54516,56542,
Cuba,Cuba.png,,89689,109886,
Cyprus,Cyprus.png,,21310,9250,
Czech Republic,Czech_Republic.png,,213189,78867,
Democratic Republic of the Congo,Democratic_Republic_of_the_Congo.png,,41441,2345410,
Denmark,Denmark.png,,324484,2210583,
Djibouti,Djibouti.png,,2082,22000,
Dominica,Dominica.png,,608,754,
Dominican Republic,Dominican_Republic.png,,75018,48730,
East Timor,East_Timor.png,,2716,14874,
Ecuador,Ecuador.png,,102311,283560,
Egypt,Egypt.png,,237073,1001450,
El Salvador,El_Salvador.png,,28023,21040,
Equatorial Guinea,Equatorial_Guinea.png,,10069,28051,
Eritrea,Eritrea.png,,6050,121320,
Estonia,Estonia.png,,25973,45339,
Ethiopia,Ethiopia.png,,80874,1127127,
Federated States of Micronesia,Federated_States_of_Micronesia.png,,329,702,
Fiji,Fiji.png,,5054,18270,
Finland,Finland.png,,253244,337030,
France,France.png,,2583560,675417,
Gabon,Gabon.png,,14467,267667,
Gambia,Gambia.png,,1038,11300,
Georgia,Georgia.png,,15230,69701,
Germany,Germany.png,,3684816,357021,
Ghana,Ghana.png,,47032,238540,
Greece,Greece.png,,200690,131940,
Grenada,Grenada.png,,1111,340,
Guatemala,Guatemala.png,,75661,108890,
Guinea,Guinea.png,,9183,245857,
Guinea-Bissau,Guinea-Bissau.png,,1295,36120,
Guyana,Guyana.png,,3591,214970,
Haiti,Haiti.png,,8360,27750,
Honduras,Honduras.png,,22975,112090,
Hong Kong,Hong_Kong.png,,341659,1092,
Hungary,Hungary.png,,152284,93030,
Iceland,Iceland.png,,23909,103000,
India,India.png,,2611012,3287263,
Indonesia,Indonesia.png,,1015411,1904556,
Iran,Iran.png,,431920,1648000,
Iraq,Iraq.png,,197699,437072,
Ireland,Ireland.png,,333994,71273,
Israel,Israel.png,,350609,26990,
Italy,Italy.png,,1937894,301230,
Ivory Coast,Ivory_Coast.png,,40360,322460,
Jamaica,Jamaica.png,,14290,10990,
Japan,Japan.png,,4872135,377835,
Jordan,Jordan.png,,40487,92300,
Kazakhstan,Kazakhstan.png,,160839,2724900,
Kenya,Kenya.png,,79511,580367,
Kiribati,Kiribati.png,,186,717,
Kosovo,Kosovo.png,,8883,10908,
Kuwait,Kuwait.png,,120351,17820,
Kyrgyzstan,Kyrgyzstan.png,,7061,198500,
Laos,Laos.png,,17152,236800,
Latvia,Latvia.png,,30319,64589,
Lebanon,Lebanon.png,,51457,10452,
Lesotho,Lesotho.png,,2721,30355,
Liberia,Liberia.png,,2140,111370,
Libya,Libya.png,,31331,1759540,
Liechtenstein,Liechtenstein.png,,5855,160,
Lithuania,Lithuania.png,,47263,65201,
Luxembourg,Luxembourg.png,,62393,2586,
Macau,Macau.png,,49802,25,
Macedonia,Macedonia.png,,11416,25333,
Madagascar,Madagascar.png,,10557,587040,
Malawi,Malawi.png,,6261,118480,
Malaysia,Malaysia.png,,314497,329750,
Maldives,Maldives.png,,4520,300,
Mali,Mali.png,,14998,1240000,
Malta,Malta.png,,12011,316,
Marshall Islands,Marshall_Islands.png,,199,181,
Mauritania,Mauritania.png,,4985,1030700,
Mauritius,Mauritius.png,,12273,1860,
Mexico,Mexico.png,,1149236,1964375,
Moldova,Moldova.png,,7945,33843,
Monaco,Monaco.png,,7060,2,
Mongolia,Mongolia.png,,10869,1565000,
Montenegro,Montenegro.png,,4405,13812,
Morocco,Morocco.png,,109824,446550,
Mozambique,Mozambique.png,,12345,801590,
Myanmar,Myanmar.png,,66537,678500,
Namibia,Namibia.png,,12558,825418,
Nauru,Nauru.png,,114,21,
Nepal,Nepal.png,,24472,147181,
Netherlands,Netherlands.png,,825745,42679,
New Zealand,New_Zealand.png,,201485,269190,
Nicaragua,Nicaragua.png,,13692,129494,
Niger,Niger.png,,7892,1267000,
Nigeria,Nigeria.png,,376284,923768,
North Korea,North_Korea.png,,17396,120540,
Norway,Norway.png,,396457,324220,
Oman,Oman.png,,74274,309500,
Pakistan,Pakistan.png,,303993,803940,
Palau,Palau.png,,321,458,
Palestine,Palestine.png,,12766,6220,
Panama,Panama.png,,61838,78201,
Papua New Guinea,Papua_New_Guinea.png,,23617,462840,
Paraguay,Paraguay.png,,29619,406750,
Peru,Peru.png,,215224,1285220,
Philippines,Philippines.png,,313419,300000,
Poland,Poland.png,,524886,312685,
Portugal,Portugal.png,,218064,91188,
Qatar,Qatar.png,,166326,11437,
Republic of the Congo,Republic_of_the_Congo.png,,7799,342000,
Romania,Romania.png,,211315,238391,
Russia,Russia.png,,1527469,17098246,
Rwanda,Rwanda.png,,8918,26338,
Samoa,Samoa.png,,844,2860,
San Marino,San_Marino.png,,1592,61,
Sao Tome and Principe,Sao_Tome_and_Principe.png,,372,1001,
Saudi Arabia,Saudi_Arabia.png,,683827,2149690,
Senegal,Senegal.png,,16057,196190,
Serbia,Serbia.png,,41471,88361,
Seychelles,Seychelles.png,,1479,455,
Sierra Leone,Sierra_Leone.png,,3897,72740,
Singapore,Singapore.png,,323902,693,
Slovakia,Slovakia.png,,95938,48845,
Slovenia,Slovenia.png,,48868,20253,
Solomon Islands,Solomon_Islands.png,,1273,28450,
Somalia,Somalia.png,,7369,637657,
South Africa,South_Africa.png,,349299,1219912,
South Korea,South_Korea.png,,1538030,98480,
South Sudan,South_Sudan.png,,2870,619745,
Spain,Spain.png,,1313951,504781,
Sri Lanka,Sri_Lanka.png,,87591,65611,
St. Kitts and Nevis,Saint_Kitts_and_Nevis.png,Saint Kitts and Nevis,939,261,
St. Lucia,Saint_Lucia.png,Saint Lucia,1717,620,
St. Vincent and the Grenadines,Saint_Vincent_and_the_Grenadines.png,Saint Vincent and the Grenadines,815,389,
Sudan,Sudan.png,,58239,1861484,
Suriname,Suriname.png,,3665,163270,
Swaziland,Swaziland.png,,4030,17363,
Sweden,Sweden.png,,538575,449964,
Switzerland,Switzerland.png,,678575,41210,
Syria,Syria.png,,77460,185180,
Taiwan,Taiwan.png,,579302,35980,
Tajikistan,Tajikistan.png,,7234,143100,
Tanzania,Tanzania.png,,51725,945087,
Thailand,Thailand.png,,455378,514000,
Togo,Togo.png,,4797,56785,
Tonga,Tonga.png,,437,748,
Trinidad and Tobago,Trinidad_and_Tobago.png,,20300,5128,
Tunisia,Tunisia.png,,40275,163610,
Turkey,Turkey.png,,849480,780580,
Turkmenistan,Turkmenistan.png,,37926,488100,
Tuvalu,Tuvalu.png,,40,26,
Uganda,Uganda.png,,26349,241550,
Ukraine,Ukraine.png,,109321,603628,
United Arab Emirates,United_Arab_Emirates.png,,377435,82880,
United Kingdom,United_Kingdom.png,,2624529,243610,
United States,United_States.png,,19390600,9525067,
Uruguay,Uruguay.png,,58415,176220,
Uzbekistan,Uzbekistan.png,,47883,447400,
Vanuatu,Vanuatu.png,,837,12200,
Vatican City,Vatican_City.png,,0,1,
Venezuela,Venezuela.png,,210085,912050,
Vietnam,Vietnam.png,,220408,329560,
Yemen,Yemen.png,,16511,527970,
Zambia,Zambia.png,,25504,752614,
Zimbabwe,Zimbabwe.png,,17105,390580,
