Country Name,Flag File Name,Official Country Name,GDP,Area,Population
Afghanistan,Afghanistan.png,,20889,647500,38928346
Albania,Albania.png,,13001,28748,2877797
Algeria,Algeria.png,,178287,2381740,43851044
Andorra,Andorra.png,,3164,468,77265
Angola,Angola.png,,124209,1246700,32866272
Antigua and Barbuda,Antigua_and_Barbuda.png,,1535,442,97929
Argentina,Argentina.png,,637717,2780400,45195774
Armenia,Armenia.png,,11037,29800,2963243
Australia,Australia.png,,1379548,7692024,25499884
Austria,Austria.png,,416845,83858,9006398
Azerbaijan,Azerbaijan.png,,40670,86600,10139177
Bahamas,Bahamas.png,,9127,13940,393244
Bahrain,Bahrain.png,,34895,665,1701575
Bangladesh,Bangladesh.png,,261374,147570,164689383
Barbados,Barbados.png,,4821,430,287375
Belarus,Belarus.png,,54436,207600,9449323
Belgium,Belgium.png,,494733,32545,11589623
Belize,Belize.png,,1819,22966,397628
Benin,Benin.png,,9410,112620,12123200
Bhutan,Bhutan.png,,2321,47000,771608
Bolivia,Bolivia.png,,37122,1098580,11673021
Bosnia and Herzegovina,Bosnia_and_Herzegovina.png,,17457,51129,3280819
Botswana,Botswana.png,,16725,600370,2351627
Brazil,Brazil.png,,2054969,8515767,212559417
Brunei,Brunei.png,,11963,5770,437479
Bulgaria,Bulgaria.png,,56943,110910,6948445
Burkina Faso,Burkina_Faso.png,,13187,274200,20903273
Burundi,Burundi.png,,3393,27834,11890784
Cambodia,Cambodia.png,,22252,181035,16718965
Cameroon,Cameroon.png,,34006,475440,26545863
Canada,Canada.png,,1652412,9984670,37742154
Cape Verde,Cape_Verde.png,,1728,4033,546388
Central African Republic,Central_African_Republic.png,,1992,622984,4829767
Chad,Chad.png,,9740,1284000,16425864
Chile,Chile.png,,277042,756950,19116201
China,People's_Republic_of_China.png,,12014610,9572900,1439323776
Colombia,Colombia.png,,309197,1197411,50882891
Comoros,Comoros.png,,659,2170,869601
Costa Rica,Costa_Rica.png,,58056,51100,5094118
Croatia,Croatia.png,,54516,56542,4105267
Cuba,Cuba.png,,89689,109886,11326616
Cyprus,Cyprus.png,,21310,9250,1207359
Czech Republic,Czech_Republic.png,,213189,78867,10708981
Democratic Republic of the Congo,Democratic_Republic_of_the_Congo.png,,41441,2345410,81340000
Denmark,Denmark.png,,324484,2210583,5792202
Djibouti,Djibouti.png,,2082,22000,988000
Dominica,Dominica.png,,608,754,71986
Dominican Republic,Dominican_Republic.png,,75018,48730,10847910
East Timor,East_Timor.png,,2716,14874,1296000
Ecuador,Ecuador.png,,102311,283560,17643054
Egypt,Egypt.png,,237073,1001450,102334404
El Salvador,El_Salvador.png,,28023,21040,6486205
Equatorial Guinea,Equatorial_Guinea.png,,10069,28051,1402985
Eritrea,Eritrea.png,,6050,121320,3546421
Estonia,Estonia.png,,25973,45339,1326535
Ethiopia,Ethiopia.png,,80874,1127127,114963588
Federated States of Micronesia,Federated_States_of_Micronesia.png,,329,702,105544
Fiji,Fiji.png,,5054,18270,896445
Finland,Finland.png,,253244,337030,5540720
France,France.png,,2583560,675417,65273511
Gabon,Gabon.png,,14467,267667,2225734
Gambia,Gambia.png,,1038,11300,2416668
Georgia,Georgia.png,,15230,69701,3989167
Germany,Germany.png,,3684816,357021,83783942
Ghana,Ghana.png,,47032,238540,31072940
Greece,Greece.png,,200690,131940,10423054
Grenada,Grenada.png,,1111,340,112523
Guatemala,Guatemala.png,,75661,108890,17915568
Guinea,Guinea.png,,9183,245857,13132795
Guinea-Bissau,Guinea-Bissau.png,,1295,36120,1968001
Guyana,Guyana.png,,3591,214970,786552
Haiti,Haiti.png,,8360,27750,11402528
Honduras,Honduras.png,,22975,112090,9904607
Hong Kong,Hong_Kong.png,,341659,1092,7496981
Hungary,Hungary.png,,152284,93030,9660351
Iceland,Iceland.png,,23909,103000,341243
India,India.png,,2611012,3287263,1380004385
